ligand,receptor,species,type
SEMA3F,PLXNA3,Human,LRDB
SEMA3F,PLXNA1,Human,LRDB
SEMA3F,NRP1,Human,LRDB
SEMA3F,NRP2,Human,LRDB
CX3CL1,CX3CR1,Human,LRDB
HEBP1,ADRA2A,Human,LRDB
HEBP1,MTNR1A,Human,LRDB
HEBP1,FPR3,Human,LRDB
HEBP1,GRM7,Human,LRDB
DCN,EGFR,Human,LRDB
DCN,MET,Human,LRDB
DCN,ERBB4,Human,LRDB
GRN,TNFRSF1A,Human,LRDB
GRN,EGFR,Human,LRDB
GRN,SORT1,Human,LRDB
GRN,TNFRSF1B,Human,LRDB
GRN,CLEC4M,Human,LRDB
UTS2,UTS2R,Human,LRDB
ICAM3,ITGAL,Human,LRDB
ICAM3,ITGB2,Human,LRDB
ICAM3,CLEC4M,Human,LRDB
ICAM3,CD209,Human,LRDB
ICAM3,ITGAD,Human,LRDB
CEACAM1,EGFR,Human,LRDB
CEACAM1,SELE,Human,LRDB
CEACAM1,CD209,Human,LRDB
PRLH,PRLHR,Human,LRDB
FGF4,FGFR2,Human,LRDB
FGF4,FGFR4,Human,LRDB
FGF4,FGFR1,Human,LRDB
FGF4,FGFR3,Human,LRDB
FGF4,NRP1,Human,LRDB
ST6GAL1,EGFR,Human,LRDB
NTN1,UNC5D,Human,LRDB
NTN1,UNC5B,Human,LRDB
NTN1,DCC,Human,LRDB
NTN1,UNC5A,Human,LRDB
NTN1,ADORA2B,Human,LRDB
NTN1,UNC5C,Human,LRDB
NTN1,NEO1,Human,LRDB
SCT,PTH1R,Human,LRDB
SCT,ADCYAP1R1,Human,LRDB
SCT,RAMP2,Human,LRDB
SCT,VIPR1,Human,LRDB
SCT,RAMP3,Human,LRDB
SCT,GPR20,Human,LRDB
SCT,ADRB2,Human,LRDB
SCT,VIPR2,Human,LRDB
SCT,ADRB3,Human,LRDB
SCT,TSHR,Human,LRDB
SCT,GPR84,Human,LRDB
FGF20,FGFR2,Human,LRDB
FGF20,FGFR4,Human,LRDB
FGF20,FGFR1,Human,LRDB
FGF20,FGFR3,Human,LRDB
CEACAM6,EGFR,Human,LRDB
THPO,MPL,Human,LRDB
EFNB1,EPHB6,Human,LRDB
EFNB1,EPHB4,Human,LRDB
EFNB1,ERBB2,Human,LRDB
EFNB1,EPHB1,Human,LRDB
EFNB1,EPHB3,Human,LRDB
EFNB1,EPHB2,Human,LRDB
EFNB1,EPHA4,Human,LRDB
EFNB1,EPHA6,Human,LRDB
DLL3,NOTCH1,Human,LRDB
DLL3,NOTCH4,Human,LRDB
DLL3,NOTCH2,Human,LRDB
DLL3,NOTCH3,Human,LRDB
SEMA4G,PLXNB2,Human,LRDB
VCL,ITGB5,Human,LRDB
VCL,ALK,Human,LRDB
EFNA2,EPHA7,Human,LRDB
EFNA2,EPHA10,Human,LRDB
EFNA2,EPHA3,Human,LRDB
EFNA2,EPHA1,Human,LRDB
EFNA2,EPHA5,Human,LRDB
EFNA2,EPHA4,Human,LRDB
EFNA2,EPHA6,Human,LRDB
EFNA2,EPHA2,Human,LRDB
FGF22,FGFR2,Human,LRDB
FGF22,FGFR1,Human,LRDB
MADCAM1,ITGA4,Human,LRDB
MADCAM1,CD44,Human,LRDB
MADCAM1,ITGB7,Human,LRDB
MIF,CXCR4,Human,LRDB
MIF,CD44,Human,LRDB
MIF,EGFR,Human,LRDB
MIF,CXCR2,Human,LRDB
OSM,LIFR,Human,LRDB
OSM,IL6ST,Human,LRDB
OSM,OSMR,Human,LRDB
TCN2,LRP2,Human,LRDB
TCN2,CNR1,Human,LRDB
LGALS1,ITGB1,Human,LRDB
LGALS1,PTPRC,Human,LRDB
NID2,COL13A1,Human,LRDB
GZMB,CHRM3,Human,LRDB
GZMB,IGF2R,Human,LRDB
RSPO4,LGR6,Human,LRDB
RSPO4,LGR4,Human,LRDB
RSPO4,LGR5,Human,LRDB
OXT,AVPR2,Human,LRDB
OXT,AVPR1B,Human,LRDB
OXT,AVPR1A,Human,LRDB
OXT,OXTR,Human,LRDB
F9,LRP1,Human,LRDB
PCSK1N,GPR171,Human,LRDB
TIMP1,FGFR2,Human,LRDB
TIMP1,CD63,Human,LRDB
MMP2,PECAM1,Human,LRDB
MMP2,CCR2,Human,LRDB
MMP2,SDC2,Human,LRDB
MMP2,FGFR1,Human,LRDB
CCL22,CCR4,Human,LRDB
CCL22,DPP4,Human,LRDB
CCL22,ACKR2,Human,LRDB
CCL17,CCR4,Human,LRDB
CCL17,ACKR1,Human,LRDB
CCL17,ACKR2,Human,LRDB
CCL17,CCR8,Human,LRDB
TG,ASGR1,Human,LRDB
TG,LRP2,Human,LRDB
TG,TPO,Human,LRDB
SFRP1,FZD2,Human,LRDB
SFRP1,FZD6,Human,LRDB
PLAT,ITGAM,Human,LRDB
PLAT,LRP1,Human,LRDB
PLAT,ITGB2,Human,LRDB
DKK4,LRP6,Human,LRDB
DKK4,LRP5,Human,LRDB
LHB,PTH1R,Human,LRDB
LHB,ADCYAP1R1,Human,LRDB
LHB,RAMP2,Human,LRDB
LHB,VIPR1,Human,LRDB
LHB,RAMP3,Human,LRDB
LHB,GPR20,Human,LRDB
LHB,ADRB2,Human,LRDB
LHB,ADRB3,Human,LRDB
LHB,TSHR,Human,LRDB
LHB,LHCGR,Human,LRDB
LHB,GPR84,Human,LRDB
AMH,ACVR1,Human,LRDB
AMH,EGFR,Human,LRDB
AMH,AMHR2,Human,LRDB
RETN,GPR25,Human,LRDB
EBI3,IL27RA,Human,LRDB
EBI3,IL6ST,Human,LRDB
TGFB1,ENG,Human,LRDB
TGFB1,EGFR,Human,LRDB
TGFB1,SMAD3,Human,LRDB
TGFB1,TGFBR2,Human,LRDB
TGFB1,ITGB3,Human,LRDB
TGFB1,TGFBR1,Human,LRDB
TGFB1,ACVRL1,Human,LRDB
TGFB1,ITGB6,Human,LRDB
TGFB1,ITGAV,Human,LRDB
TGFB1,ITGB1,Human,LRDB
TGFB1,CAV1,Human,LRDB
TGFB1,SDC2,Human,LRDB
TGFB1,ITGB8,Human,LRDB
TGFB1,CXCR4,Human,LRDB
TGFB1,ITGB5,Human,LRDB
ICAM5,ITGAL,Human,LRDB
ICAM5,ITGB2,Human,LRDB
CEACAM5,CD1D,Human,LRDB
COMP,ITGB1,Human,LRDB
COMP,ITGB3,Human,LRDB
COMP,CD36,Human,LRDB
HGF,CD44,Human,LRDB
HGF,SDC1,Human,LRDB
HGF,ITGB1,Human,LRDB
HGF,MET,Human,LRDB
HGF,SDC2,Human,LRDB
HGF,NRP1,Human,LRDB
HGF,ST14,Human,LRDB
LAMB1,ITGA7,Human,LRDB
LAMB1,ITGAV,Human,LRDB
LAMB1,ITGB1,Human,LRDB
LAMB1,ITGA6,Human,LRDB
LAMB1,ITGA1,Human,LRDB
LAMB1,ITGA2,Human,LRDB
WNT16,FZD6,Human,LRDB
NAMPT,ADORA2A,Human,LRDB
PON2,HTR2A,Human,LRDB
NPVF,NPFFR1,Human,LRDB
NPVF,NPFFR2,Human,LRDB
PDAP1,PDGFRB,Human,LRDB
SERPINE1,LRP2,Human,LRDB
SERPINE1,PLAUR,Human,LRDB
SERPINE1,ITGAV,Human,LRDB
SERPINE1,LRP1,Human,LRDB
SERPINE1,ITGB5,Human,LRDB
C5,ADRA2A,Human,LRDB
C5,MTNR1A,Human,LRDB
C5,C5AR2,Human,LRDB
C5,C5AR1,Human,LRDB
C5,GRM7,Human,LRDB
TNFSF8,TNFRSF8,Human,LRDB
RLN1,RXFP2,Human,LRDB
RLN1,RXFP1,Human,LRDB
CSF3,CSF1R,Human,LRDB
CSF3,CSF3R,Human,LRDB
WNT3,RYK,Human,LRDB
WNT3,LRP6,Human,LRDB
WNT3,ROR2,Human,LRDB
WNT3,FZD1,Human,LRDB
WNT3,FZD7,Human,LRDB
WNT3,FZD8,Human,LRDB
WNT3,FZD5,Human,LRDB
CCL2,CCR4,Human,LRDB
CCL2,CCR1,Human,LRDB
CCL2,CCR2,Human,LRDB
CCL2,CCR5,Human,LRDB
CCL2,CCR10,Human,LRDB
CCL2,CCR3,Human,LRDB
CCL2,ACKR1,Human,LRDB
CCL2,ACKR2,Human,LRDB
CCL2,ACKR4,Human,LRDB
CCL1,CCR8,Human,LRDB
CCL13,CXCR3,Human,LRDB
CCL13,CCR3,Human,LRDB
CCL13,ACKR1,Human,LRDB
CCL13,CCR1,Human,LRDB
CCL13,ACKR2,Human,LRDB
