ligand,receptor,type,species
ABHD18,VIPR1,L,Human
ABHD18,ADCYAP1R1,L,Human
ACRBP,ITGA2,L,Human
ADA2,RAMP3,L,Human
ADA2,VIPR1,L,Human
ADA2,ADCYAP1R1,L,Human
ADAM23,FGFR1,L,Human
ADAM23,FGFR2,L,Human
ADAM23,FGFR3,L,Human
ADAM23,NRXN2,L,Human
ADAM23,NRXN3,L,Human
ADAMTS13,ITGA2,L,Human
ADAMTS7,ITGA2,L,Human
ADAMTSL4,ITGA2,L,Human
ADAMTSL5,FGFR1,L,Human
ADAMTSL5,FGFR2,L,Human
ADAMTSL5,FGFR3,L,Human
ADGRB1,FGFR1,L,Human
ADGRB1,FGFR2,L,Human
ADGRB1,FGFR3,L,Human
ADGRB1,EPHA2,L,Human
ADGRB1,EPHB2,L,Human
ADGRB1,EPHB3,L,Human
ADGRB1,EPHB4,L,Human
ADGRB1,EPHB1,L,Human
ADGRB1,EPHA4,L,Human
ADGRB1,EPHA7,L,Human
ADGRB1,NRXN2,L,Human
ADGRB1,NRXN3,L,Human
ADM5,RAMP3,L,Human
ADM5,VIPR1,L,Human
ADM5,ADCYAP1R1,L,Human
ADPGK,RAMP3,L,Human
ADPGK,VIPR1,L,Human
ADPGK,ADCYAP1R1,L,Human
AFM,ITGA2,L,Human
AFP,ITGA2,L,Human
AGGF1,FGFR1,L,Human
AGGF1,FGFR2,L,Human
AGGF1,FGFR3,L,Human
AIMP1,VIPR1,L,Human
AIMP1,ADCYAP1R1,L,Human
AMBN,VIPR1,L,Human
AMBN,ADCYAP1R1,L,Human
AMELY,ITGA2,L,Human
AMELY,VIPR1,L,Human
AMELY,ADCYAP1R1,L,Human
AMTN,ACKR2,L,Human
AMTN,RAMP3,L,Human
AMTN,TSHR,L,Human
AMTN,VIPR1,L,Human
AMTN,CCR1,L,Human
AMTN,ADCYAP1R1,L,Human
AMTN,GLP1R,L,Human
AMTN,CCR5,L,Human
AMTN,ACKR4,L,Human
ANGPTL6,FGFR1,L,Human
ANGPTL6,FGFR2,L,Human
ANGPTL6,FGFR4,L,Human
ANGPTL6,FGFR3,L,Human
ANGPTL6,ACVR2A,L,Human
ANGPTL6,EPHA2,L,Human
ANGPTL6,EPHA3,L,Human
ANGPTL6,EPHB2,L,Human
ANGPTL6,BMPR1A,L,Human
ANGPTL6,EPHB3,L,Human
ANGPTL6,EPHA5,L,Human
ANGPTL6,EPHB4,L,Human
ANGPTL6,EPHB1,L,Human
ANGPTL6,EPHA4,L,Human
ANGPTL6,ACVR2B,L,Human
ANGPTL6,EPHA7,L,Human
ANGPTL6,NRXN2,L,Human
ANGPTL6,NRXN3,L,Human
ANGPTL8,ITGA2,L,Human
APOA5,RAMP3,L,Human
APOA5,VIPR1,L,Human
APOA5,ADCYAP1R1,L,Human
BAGE,ACKR2,L,Human
BAGE,RAMP3,L,Human
BAGE,ADRB2,L,Human
BAGE,ADRA2A,L,Human
BAGE,CHRM1,L,Human
BAGE,ADRA2B,L,Human
BAGE,EDNRB,L,Human
BAGE,EDNRA,L,Human
BAGE,ADORA1,L,Human
BAGE,SSTR2,L,Human
BAGE,SSTR4,L,Human
BAGE,VIPR1,L,Human
BAGE,CCR1,L,Human
BAGE,SSTR3,L,Human
BAGE,SSTR5,L,Human
BAGE,OPRM1,L,Human
BAGE,OPRD1,L,Human
BAGE,OPRK1,L,Human
BAGE,ADCYAP1R1,L,Human
BAGE,MTNR1A,L,Human
BAGE,MTNR1B,L,Human
BAGE,CCR3,L,Human
BAGE,CCR5,L,Human
BAGE,PTH1R,L,Human
BAGE,GRM7,L,Human
BAGE,GHSR,L,Human
BAGE,GPR84,L,Human
BAGE4,ACKR2,L,Human
BAGE4,RAMP3,L,Human
BAGE4,ADRB2,L,Human
BAGE4,VIPR1,L,Human
BAGE4,ADCYAP1R1,L,Human
BAGE4,CCR5,L,Human
BAGE5,ACKR2,L,Human
BAGE5,RAMP3,L,Human
BAGE5,ADRB2,L,Human
BAGE5,ADRA2A,L,Human
BAGE5,CHRM1,L,Human
BAGE5,ADRA2B,L,Human
BAGE5,EDNRB,L,Human
BAGE5,EDNRA,L,Human
BAGE5,ADORA1,L,Human
BAGE5,SSTR2,L,Human
BAGE5,SSTR4,L,Human
BAGE5,VIPR1,L,Human
BAGE5,CCR1,L,Human
BAGE5,SSTR3,L,Human
BAGE5,SSTR5,L,Human
BAGE5,OPRM1,L,Human
BAGE5,OPRD1,L,Human
BAGE5,OPRK1,L,Human
BAGE5,ADCYAP1R1,L,Human
BAGE5,MTNR1A,L,Human
BAGE5,MTNR1B,L,Human
BAGE5,CCR3,L,Human
BAGE5,CCR5,L,Human
BAGE5,PTH1R,L,Human
BAGE5,GRM7,L,Human
BAGE5,GHSR,L,Human
BAGE5,GPR84,L,Human
BGLAP,RAMP1,L,Human
BGLAP,RAMP2,L,Human
BGLAP,RAMP3,L,Human
BGLAP,GLP2R,L,Human
BGLAP,ADRB2,L,Human
BGLAP,ADRA2A,L,Human
BGLAP,TSHR,L,Human
BGLAP,CALCR,L,Human
BGLAP,SSTR4,L,Human
BGLAP,VIPR1,L,Human
BGLAP,SSTR3,L,Human
BGLAP,SSTR5,L,Human
BGLAP,OPRM1,L,Human
BGLAP,OPRD1,L,Human
BGLAP,ADCYAP1R1,L,Human
BGLAP,GLP1R,L,Human
BGLAP,MTNR1A,L,Human
BGLAP,PTH1R,L,Human
BGLAP,CALCRL,L,Human
BGLAP,RXFP2,L,Human
BGLAP,GPR20,L,Human
BGLAP,RXFP1,L,Human
BGLAP,GPR84,L,Human
BMPER,ITGA2,L,Human
BPIFA1,VIPR1,L,Human
BPIFA1,ADCYAP1R1,L,Human
BRINP2,ITGA2,L,Human
C11orf94,RAMP3,L,Human
C11orf94,VIPR1,L,Human
C11orf94,ADCYAP1R1,L,Human
C15orf61,VIPR1,L,Human
C15orf61,ADCYAP1R1,L,Human
C17orf67,RAMP3,L,Human
C17orf67,ADRB2,L,Human
C17orf67,SSTR4,L,Human
C17orf67,VIPR1,L,Human
C17orf67,SSTR3,L,Human
C17orf67,SSTR5,L,Human
C17orf67,ADCYAP1R1,L,Human
C17orf67,GPR84,L,Human
C1QC,ITGA2,L,Human
C1QL1,FGFR1,L,Human
C1QL1,FGFR2,L,Human
C1QL1,FGFR4,L,Human
C1QL1,FGFR3,L,Human
C1QL1,ACVR2A,L,Human
C1QL1,EPHA2,L,Human
C1QL1,EPHA3,L,Human
C1QL1,EPHB2,L,Human
C1QL1,BMPR1A,L,Human
C1QL1,EPHB3,L,Human
C1QL1,EPHA5,L,Human
C1QL1,EPHB4,L,Human
C1QL1,EPHB1,L,Human
C1QL1,EPHA4,L,Human
C1QL1,ACVR2B,L,Human
C1QL1,EPHA7,L,Human
C1QL1,NRXN2,L,Human
C1QL1,NRXN3,L,Human
C1QL2,FGFR1,L,Human
C1QL2,FGFR2,L,Human
C1QL2,FGFR4,L,Human
C1QL2,FGFR3,L,Human
C1QL2,ACVR2A,L,Human
C1QL2,EPHA2,L,Human
C1QL2,EPHA3,L,Human
C1QL2,EPHA8,L,Human
C1QL2,EPHB2,L,Human
C1QL2,BMPR1A,L,Human
C1QL2,EPHB3,L,Human
C1QL2,EPHA5,L,Human
C1QL2,EPHB4,L,Human
C1QL2,EPHB1,L,Human
C1QL2,EPHA4,L,Human
C1QL2,ACVR2B,L,Human
C1QL2,EPHA7,L,Human
C1QL2,NRXN2,L,Human
C1QL2,EPHA6,L,Human
C1QL2,NRXN3,L,Human
C1QL3,FGFR1,L,Human
C1QL3,FGFR2,L,Human
C1QL3,FGFR4,L,Human
C1QL3,FGFR3,L,Human
C1QL3,ACVR2A,L,Human
C1QL3,EPHA2,L,Human
C1QL3,EPHB2,L,Human
C1QL3,EPHB3,L,Human
C1QL3,EPHA5,L,Human
C1QL3,EPHB4,L,Human
C1QL3,EPHB1,L,Human
C1QL3,EPHA4,L,Human
C1QL3,EPHA7,L,Human
C1QL3,NRXN2,L,Human
C1QL3,NRXN3,L,Human
C1QL4,FGFR1,L,Human
C1QL4,FGFR2,L,Human
C1QL4,FGFR4,L,Human
C1QL4,FGFR3,L,Human
C1QL4,ACVR2A,L,Human
C1QL4,EPHA2,L,Human
C1QL4,EPHA3,L,Human
C1QL4,EPHB2,L,Human
C1QL4,BMPR1A,L,Human
C1QL4,EPHB3,L,Human
C1QL4,EPHA5,L,Human
C1QL4,EPHB4,L,Human
C1QL4,EPHB1,L,Human
C1QL4,EPHA4,L,Human
C1QL4,ACVR2B,L,Human
C1QL4,EPHA7,L,Human
C1QL4,NRXN2,L,Human
C1QL4,NRXN3,L,Human
C1QTNF12,FGFR1,L,Human
C1QTNF12,FGFR2,L,Human
C1QTNF12,FGFR4,L,Human
C1QTNF12,FGFR3,L,Human
C1QTNF12,ACVR2A,L,Human
C1QTNF12,EPHA2,L,Human
C1QTNF12,EPHA3,L,Human
C1QTNF12,EPHB2,L,Human
C1QTNF12,BMPR1A,L,Human
C1QTNF12,EPHB3,L,Human
C1QTNF12,EPHA5,L,Human
C1QTNF12,EPHB4,L,Human
C1QTNF12,EPHB1,L,Human
C1QTNF12,EPHA4,L,Human
C1QTNF12,ACVR2B,L,Human
C1QTNF12,EPHA7,L,Human
C1QTNF2,FGFR1,L,Human
C1QTNF2,FGFR2,L,Human
C1QTNF2,FGFR3,L,Human
C1QTNF3,ITGA2,L,Human
C1QTNF4,FGFR1,L,Human
C1QTNF4,FGFR2,L,Human
C1QTNF4,FGFR4,L,Human
C1QTNF4,FGFR3,L,Human
C1QTNF4,ACVR2A,L,Human
C1QTNF4,EPHA2,L,Human
C1QTNF4,EPHA3,L,Human
C1QTNF4,EPHB2,L,Human
C1QTNF4,BMPR1A,L,Human
C1QTNF4,EPHB3,L,Human
C1QTNF4,EPHA5,L,Human
C1QTNF4,EPHB4,L,Human
C1QTNF4,EPHB1,L,Human
C1QTNF4,EPHA4,L,Human
C1QTNF4,ACVR2B,L,Human
C1QTNF4,EPHA7,L,Human
C1QTNF4,NRXN2,L,Human
C1QTNF4,EPHA6,L,Human
C1QTNF4,NRXN3,L,Human
C1QTNF6,FGFR1,L,Human
C1QTNF6,FGFR2,L,Human
C1QTNF6,FGFR4,L,Human
C1QTNF6,FGFR3,L,Human
C1QTNF6,ACVR2A,L,Human
