external_gene_name,mouse_ensembl_gene_id,human_ensembl_gene_id,hgnc_symbol
Igkv18-36,ENSMUSG00000076572,ENSG00000243063,IGKV3-7
Igkv15-103,ENSMUSG00000076523,ENSG00000211633,IGKV1D-42
Iglv3,ENSMUSG00000076939,ENSG00000211672,IGLV4-3
Trgv4,ENSMUSG00000076745,ENSG00000211693,TRGV11
Trgv3,ENSMUSG00000076750,ENSG00000211693,TRGV11
Trgv2,ENSMUSG00000076754,ENSG00000211693,TRGV11
Trgv1,ENSMUSG00000076755,ENSG00000211693,TRGV11
Trbv19,ENSMUSG00000076475,ENSG00000211746,TRBV19
Trbv20,ENSMUSG00000076476,ENSG00000211747,TRBV20-1
Igkv2-109,ENSMUSG00000105606,ENSG00000244116,IGKV2-28
Igkv2-109,ENSMUSG00000105606,ENSG00000243264,IGKV2D-29
Igkv15-103,ENSMUSG00000076523,ENSG00000242766,IGKV1D-17
Gm20730,ENSMUSG00000076500,ENSG00000239571,IGKV2D-30
Igkv2-137,ENSMUSG00000076501,ENSG00000239571,IGKV2D-30
Igkv2-112,ENSMUSG00000076518,ENSG00000239571,IGKV2D-30
Igkv15-103,ENSMUSG00000076523,ENSG00000239862,IGKV1-37
Trav7d-4,ENSMUSG00000094023,ENSG00000211789,TRAV12-2
Trav7-4,ENSMUSG00000094766,ENSG00000211789,TRAV12-2
Trav7n-4,ENSMUSG00000095736,ENSG00000211789,TRAV12-2
Trav7-6,ENSMUSG00000096138,ENSG00000211789,TRAV12-2
Trav7-2,ENSMUSG00000096417,ENSG00000211789,TRAV12-2
Trav7d-3,ENSMUSG00000096746,ENSG00000211789,TRAV12-2
Trav7-3,ENSMUSG00000096908,ENSG00000211789,TRAV12-2
Trav7-1,ENSMUSG00000104620,ENSG00000211789,TRAV12-2
Trav7n-6,ENSMUSG00000105080,ENSG00000211789,TRAV12-2
Trav7d-5,ENSMUSG00000105393,ENSG00000211789,TRAV12-2
Trav7d-2,ENSMUSG00000105533,ENSG00000211789,TRAV12-2
Trav7n-5,ENSMUSG00000105629,ENSG00000211789,TRAV12-2
Trav7d-6,ENSMUSG00000105721,ENSG00000211789,TRAV12-2
Trav7-5,ENSMUSG00000106620,ENSG00000211789,TRAV12-2
Trav6n-5,ENSMUSG00000076800,ENSG00000211783,TRAV9-1
Trav6d-5,ENSMUSG00000095426,ENSG00000211783,TRAV9-1
Trav6-5,ENSMUSG00000096149,ENSG00000211783,TRAV9-1
Trav14n-3,ENSMUSG00000076824,ENSG00000211803,TRAV23DV6
Trav14-1,ENSMUSG00000076840,ENSG00000211803,TRAV23DV6
Trav14n-2,ENSMUSG00000093801,ENSG00000211803,TRAV23DV6
Trav14-3,ENSMUSG00000094212,ENSG00000211803,TRAV23DV6
Trav14d-3-dv8,ENSMUSG00000094619,ENSG00000211803,TRAV23DV6
Trav14d-2,ENSMUSG00000095560,ENSG00000211803,TRAV23DV6
Trav14-2,ENSMUSG00000095711,ENSG00000211803,TRAV23DV6
Trav14d-1,ENSMUSG00000095854,ENSG00000211803,TRAV23DV6
Trav14n-1,ENSMUSG00000096827,ENSG00000211803,TRAV23DV6
Trav12n-3,ENSMUSG00000093915,ENSG00000211798,TRAV18
Trav12d-3,ENSMUSG00000094607,ENSG00000211798,TRAV18
Trav12d-1,ENSMUSG00000095689,ENSG00000211798,TRAV18
Trav12-3,ENSMUSG00000095958,ENSG00000211798,TRAV18
Trav12n-1,ENSMUSG00000096055,ENSG00000211798,TRAV18
Trav12d-2,ENSMUSG00000096129,ENSG00000211798,TRAV18
Trav12n-2,ENSMUSG00000096531,ENSG00000211798,TRAV18
Trav12-2,ENSMUSG00000096656,ENSG00000211798,TRAV18
Trav12-1,ENSMUSG00000096825,ENSG00000211798,TRAV18
Igkv18-36,ENSMUSG00000076572,ENSG00000224041,IGKV3D-15
Igkv15-103,ENSMUSG00000076523,ENSG00000239819,IGKV1D-8
Trav18,ENSMUSG00000076861,ENSG00000211809,TRAV27
Trav6-1,ENSMUSG00000076762,ENSG00000211793,TRAV9-2
Trav6-2,ENSMUSG00000076764,ENSG00000211793,TRAV9-2
Trav6n-6,ENSMUSG00000076802,ENSG00000211793,TRAV9-2
Trav6d-6,ENSMUSG00000094176,ENSG00000211793,TRAV9-2
Trav6-3,ENSMUSG00000094220,ENSG00000211793,TRAV9-2
Trav6-4,ENSMUSG00000094468,ENSG00000211793,TRAV9-2
Trav6-7-dv9,ENSMUSG00000095126,ENSG00000211793,TRAV9-2
Trav6n-7,ENSMUSG00000095370,ENSG00000211793,TRAV9-2
Trav6d-4,ENSMUSG00000095387,ENSG00000211793,TRAV9-2
Trav6d-7,ENSMUSG00000095756,ENSG00000211793,TRAV9-2
Trav6-6,ENSMUSG00000095862,ENSG00000211793,TRAV9-2
Trav6d-3,ENSMUSG00000096600,ENSG00000211793,TRAV9-2
Igkv2-109,ENSMUSG00000105606,ENSG00000273962,IGKV2-40
Defb43,ENSMUSG00000075572,ENSG00000225805,DEFB131B
Smim26,ENSMUSG00000074754,ENSG00000232388,SMIM26
Or4n4b,ENSMUSG00000090874,ENSG00000279408,OR4N4C
Or4n4,ENSMUSG00000091873,ENSG00000279408,OR4N4C
Igkv2-109,ENSMUSG00000105606,ENSG00000211623,IGKV2D-26
Igkv18-36,ENSMUSG00000076572,ENSG00000211632,IGKV3D-11
Trgv4,ENSMUSG00000076745,ENSG00000211694,TRGV10
Trgv3,ENSMUSG00000076750,ENSG00000211694,TRGV10
Trgv2,ENSMUSG00000076754,ENSG00000211694,TRGV10
Trgv1,ENSMUSG00000076755,ENSG00000211694,TRGV10
Trbv23,ENSMUSG00000076478,ENSG00000211749,TRBV23-1
Trbv26,ENSMUSG00000076479,ENSG00000211749,TRBV23-1
Igkv5-48,ENSMUSG00000076563,ENSG00000225523,IGKV6D-21
Igkv5-39,ENSMUSG00000076569,ENSG00000225523,IGKV6D-21
Igkv5-37,ENSMUSG00000076571,ENSG00000225523,IGKV6D-21
Igkv5-45,ENSMUSG00000094094,ENSG00000225523,IGKV6D-21
Igkv5-43,ENSMUSG00000094433,ENSG00000225523,IGKV6D-21
Trbv12-2,ENSMUSG00000094525,ENSG00000276405,TRBV13
Trbv12-1,ENSMUSG00000095574,ENSG00000276405,TRBV13
Trav9d-4,ENSMUSG00000090868,ENSG00000211787,TRAV8-3
Trav9n-2,ENSMUSG00000093813,ENSG00000211787,TRAV8-3
Trav9n-4,ENSMUSG00000094231,ENSG00000211787,TRAV8-3
Trav9d-2,ENSMUSG00000094914,ENSG00000211787,TRAV8-3
Trav9-2,ENSMUSG00000094966,ENSG00000211787,TRAV8-3
Trav9d-3,ENSMUSG00000095495,ENSG00000211787,TRAV8-3
Trav9d-1,ENSMUSG00000096478,ENSG00000211787,TRAV8-3
Trav9n-3,ENSMUSG00000096541,ENSG00000211787,TRAV8-3
Trav9-4,ENSMUSG00000096678,ENSG00000211787,TRAV8-3
Trav9-1,ENSMUSG00000096900,ENSG00000211787,TRAV8-3
Trav9d-4,ENSMUSG00000090868,ENSG00000211782,TRAV8-1
Trav9n-2,ENSMUSG00000093813,ENSG00000211782,TRAV8-1
Trav9n-4,ENSMUSG00000094231,ENSG00000211782,TRAV8-1
Trav9d-2,ENSMUSG00000094914,ENSG00000211782,TRAV8-1
Trav9-2,ENSMUSG00000094966,ENSG00000211782,TRAV8-1
Trav9d-3,ENSMUSG00000095495,ENSG00000211782,TRAV8-1
Trav9d-1,ENSMUSG00000096478,ENSG00000211782,TRAV8-1
Trav9n-3,ENSMUSG00000096541,ENSG00000211782,TRAV8-1
Trav9-4,ENSMUSG00000096678,ENSG00000211782,TRAV8-1
Trav9-1,ENSMUSG00000096900,ENSG00000211782,TRAV8-1
Trav16d-dv11,ENSMUSG00000076796,ENSG00000211799,TRAV19
Trav16n,ENSMUSG00000076822,ENSG00000211799,TRAV19
Trav16,ENSMUSG00000076855,ENSG00000211799,TRAV19
Ighv8-12,ENSMUSG00000076731,ENSG00000211951,IGHV2-26
Ighv8-13,ENSMUSG00000076733,ENSG00000211951,IGHV2-26
Ighv8-6,ENSMUSG00000094505,ENSG00000211951,IGHV2-26
Ighv8-9,ENSMUSG00000095117,ENSG00000211951,IGHV2-26
Ighv8-11,ENSMUSG00000095170,ENSG00000211951,IGHV2-26
Ighv8-4,ENSMUSG00000096355,ENSG00000211951,IGHV2-26
Ighv8-2,ENSMUSG00000102301,ENSG00000211951,IGHV2-26
Ighv8-5,ENSMUSG00000102364,ENSG00000211951,IGHV2-26
Ighv8-8,ENSMUSG00000104452,ENSG00000211951,IGHV2-26
Ighv6-3,ENSMUSG00000076677,ENSG00000211976,IGHV3-73
Ighv6-6,ENSMUSG00000076680,ENSG00000211976,IGHV3-73
Ighv6-7,ENSMUSG00000087582,ENSG00000211976,IGHV3-73
Ighv6-4,ENSMUSG00000094174,ENSG00000211976,IGHV3-73
Ighv10-3,ENSMUSG00000095700,ENSG00000211976,IGHV3-73
Ighv10-1,ENSMUSG00000095981,ENSG00000211976,IGHV3-73
Ighv6-5,ENSMUSG00000096407,ENSG00000211976,IGHV3-73
Ighv9-2,ENSMUSG00000094102,ENSG00000211979,IGHV7-81
Ighv9-4,ENSMUSG00000094322,ENSG00000211979,IGHV7-81
Ighv9-3,ENSMUSG00000096459,ENSG00000211979,IGHV7-81
Ighv9-1,ENSMUSG00000096805,ENSG00000211979,IGHV7-81
Ighv5-2,ENSMUSG00000076633,ENSG00000232216,IGHV3-43
Ighv4-1,ENSMUSG00000076655,ENSG00000232216,IGHV3-43
Ighv16-1,ENSMUSG00000076661,ENSG00000232216,IGHV3-43
Ighv5-15,ENSMUSG00000094134,ENSG00000232216,IGHV3-43
Ighv5-16,ENSMUSG00000094194,ENSG00000232216,IGHV3-43
Ighv11-1,ENSMUSG00000094533,ENSG00000232216,IGHV3-43
Ighv5-6,ENSMUSG00000094951,ENSG00000232216,IGHV3-43
Ighv5-9-1,ENSMUSG00000095210,ENSG00000232216,IGHV3-43
Ighv5-9,ENSMUSG00000095285,ENSG00000232216,IGHV3-43
Ighv5-12,ENSMUSG00000095429,ENSG00000232216,IGHV3-43
Ighv5-17,ENSMUSG00000095571,ENSG00000232216,IGHV3-43
Ighv5-4,ENSMUSG00000095612,ENSG00000232216,IGHV3-43
Ighv11-2,ENSMUSG00000096108,ENSG00000232216,IGHV3-43
Ighv5-12-4,ENSMUSG00000103033,ENSG00000232216,IGHV3-43
Igkv15-103,ENSMUSG00000076523,ENSG00000242580,IGKV1D-43
Trav5-1,ENSMUSG00000076761,ENSG00000211791,TRAV13-2
Trav10d,ENSMUSG00000094792,ENSG00000211791,TRAV13-2
Trav5-4,ENSMUSG00000095607,ENSG00000211791,TRAV13-2
Trav10n,ENSMUSG00000095646,ENSG00000211791,TRAV13-2
Trav5d-4,ENSMUSG00000096106,ENSG00000211791,TRAV13-2
Trav5n-4,ENSMUSG00000096168,ENSG00000211791,TRAV13-2
Trav10,ENSMUSG00000096551,ENSG00000211791,TRAV13-2
Trav1,ENSMUSG00000076758,ENSG00000256553,TRAV1-2
Trav11d,ENSMUSG00000095088,ENSG00000211784,TRAV10
Trav11,ENSMUSG00000096615,ENSG00000211784,TRAV10
Trav5-1,ENSMUSG00000076761,ENSG00000211788,TRAV13-1
Trav10d,ENSMUSG00000094792,ENSG00000211788,TRAV13-1
Trav5-4,ENSMUSG00000095607,ENSG00000211788,TRAV13-1
Trav10n,ENSMUSG00000095646,ENSG00000211788,TRAV13-1
Trav5d-4,ENSMUSG00000096106,ENSG00000211788,TRAV13-1
Trav5n-4,ENSMUSG00000096168,ENSG00000211788,TRAV13-1
Trav10,ENSMUSG00000096551,ENSG00000211788,TRAV13-1
Trav7d-4,ENSMUSG00000094023,ENSG00000211785,TRAV12-1
Trav7-4,ENSMUSG00000094766,ENSG00000211785,TRAV12-1
Trav7n-4,ENSMUSG00000095736,ENSG00000211785,TRAV12-1
Trav7-6,ENSMUSG00000096138,ENSG00000211785,TRAV12-1
Trav7-2,ENSMUSG00000096417,ENSG00000211785,TRAV12-1
Trav7d-3,ENSMUSG00000096746,ENSG00000211785,TRAV12-1
Trav7-3,ENSMUSG00000096908,ENSG00000211785,TRAV12-1
Trav7-1,ENSMUSG00000104620,ENSG00000211785,TRAV12-1
Trav7n-6,ENSMUSG00000105080,ENSG00000211785,TRAV12-1
Trav7d-5,ENSMUSG00000105393,ENSG00000211785,TRAV12-1
Trav7d-2,ENSMUSG00000105533,ENSG00000211785,TRAV12-1
Trav7n-5,ENSMUSG00000105629,ENSG00000211785,TRAV12-1
Trav7d-6,ENSMUSG00000105721,ENSG00000211785,TRAV12-1
Trav7-5,ENSMUSG00000106620,ENSG00000211785,TRAV12-1
Trav1,ENSMUSG00000076758,ENSG00000255569,TRAV1-1
Trav3-1,ENSMUSG00000076760,ENSG00000211779,TRAV5
Trav3-4,ENSMUSG00000076858,ENSG00000211779,TRAV5
Trav3d-3,ENSMUSG00000093953,ENSG00000211779,TRAV5
Trav3-3,ENSMUSG00000094828,ENSG00000211779,TRAV5
Trav3n-3,ENSMUSG00000094877,ENSG00000211779,TRAV5
Trav23,ENSMUSG00000106289,ENSG00000211818,TRAV39
Trdv2-2,ENSMUSG00000076866,ENSG00000211816,TRAV38-1
Trav21-dv12,ENSMUSG00000076863,ENSG00000211812,TRAV26-2
Trav2,ENSMUSG00000076759,ENSG00000211778,TRAV4
Trav7d-4,ENSMUSG00000094023,ENSG00000211794,TRAV12-3
Trav7-4,ENSMUSG00000094766,ENSG00000211794,TRAV12-3
Trav7n-4,ENSMUSG00000095736,ENSG00000211794,TRAV12-3
Trav7-6,ENSMUSG00000096138,ENSG00000211794,TRAV12-3
Trav7-2,ENSMUSG00000096417,ENSG00000211794,TRAV12-3
Trav7d-3,ENSMUSG00000096746,ENSG00000211794,TRAV12-3
Trav7-3,ENSMUSG00000096908,ENSG00000211794,TRAV12-3
Trav7-1,ENSMUSG00000104620,ENSG00000211794,TRAV12-3
Trav7n-6,ENSMUSG00000105080,ENSG00000211794,TRAV12-3
Trav7d-5,ENSMUSG00000105393,ENSG00000211794,TRAV12-3
Trav7d-2,ENSMUSG00000105533,ENSG00000211794,TRAV12-3
Trav7n-5,ENSMUSG00000105629,ENSG00000211794,TRAV12-3
Trav7d-6,ENSMUSG00000105721,ENSG00000211794,TRAV12-3
Trav7-5,ENSMUSG00000106620,ENSG00000211794,TRAV12-3
Trdv1,ENSMUSG00000076864,ENSG00000211813,TRAV34
Trav8d-1,ENSMUSG00000076770,ENSG00000211797,TRAV17
Trav8d-2,ENSMUSG00000076795,ENSG00000211797,TRAV17
Trav8n-2,ENSMUSG00000076821,ENSG00000211797,TRAV17
Trav8-1,ENSMUSG00000076831,ENSG00000211797,TRAV17
Trav13d-1,ENSMUSG00000076778,ENSG00000211802,TRAV22
Trav13n-4,ENSMUSG00000076823,ENSG00000211802,TRAV22
Trav13-1,ENSMUSG00000076839,ENSG00000211802,TRAV22
Trav13-2,ENSMUSG00000076846,ENSG00000211802,TRAV22
Trav13-5,ENSMUSG00000087666,ENSG00000211802,TRAV22
Trav13-4-dv7,ENSMUSG00000094562,ENSG00000211802,TRAV22
Trav13d-2,ENSMUSG00000094758,ENSG00000211802,TRAV22
Trav13n-2,ENSMUSG00000094779,ENSG00000211802,TRAV22
Trav13d-3,ENSMUSG00000095643,ENSG00000211802,TRAV22
Trav13n-3,ENSMUSG00000096038,ENSG00000211802,TRAV22
Trav13d-4,ENSMUSG00000096329,ENSG00000211802,TRAV22
Trav13n-1,ENSMUSG00000104629,ENSG00000211802,TRAV22
Igkv15-103,ENSMUSG00000076523,ENSG00000276566,IGKV1D-13
Trbv15,ENSMUSG00000076472,ENSG00000276953,TRBV12-4
Trbv16,ENSMUSG00000076473,ENSG00000276953,TRBV12-4
Igkv5-48,ENSMUSG00000076563,ENSG00000211611,IGKV6-21
Igkv5-39,ENSMUSG00000076569,ENSG00000211611,IGKV6-21
Igkv5-37,ENSMUSG00000076571,ENSG00000211611,IGKV6-21
Igkv5-45,ENSMUSG00000094094,ENSG00000211611,IGKV6-21
Igkv5-43,ENSMUSG00000094433,ENSG00000211611,IGKV6-21
Igkv18-36,ENSMUSG00000076572,ENSG00000211625,IGKV3D-20
Igkv5-48,ENSMUSG00000076563,ENSG00000211626,IGKV6D-41
Igkv5-39,ENSMUSG00000076569,ENSG00000211626,IGKV6D-41
Igkv5-37,ENSMUSG00000076571,ENSG00000211626,IGKV6D-41
Igkv5-45,ENSMUSG00000094094,ENSG00000211626,IGKV6D-41
Igkv5-43,ENSMUSG00000094433,ENSG00000211626,IGKV6D-41
Ighv5-2,ENSMUSG00000076633,ENSG00000211946,IGHV3-20
Ighv4-1,ENSMUSG00000076655,ENSG00000211946,IGHV3-20
Ighv16-1,ENSMUSG00000076661,ENSG00000211946,IGHV3-20
